,Cliente_ID
4064,327267
4065,327344
4066,327444
4067,327454
4068,327463
4069,327477
4070,327513
4071,327525
4072,327541
4073,327554
4074,327585
4075,327599
4076,327747
4077,327753
4078,330472
4079,413941
4080,418753
4081,418769
4082,418863
4083,430377
4084,492869
4085,492888
4086,493037
4087,493113
4088,493126
4089,493133
4090,513752
4091,513759
4092,513785
4093,513797
4094,513829
4095,579858
4096,639981
4097,641445
4098,721134
4099,776446
4100,776459
4101,807297
4102,889466
4103,896839
4104,897174
4105,976789
4106,984808
4107,991609
4108,1062680
4109,1071882
4110,1072708
4111,1133619
4112,1182733
4113,1379489
4114,1386968
4115,1435209
4116,1552517
4117,1579043
4118,1641173
4119,1671821
4120,1847097
4121,1886539
4122,1903073
4123,1927391
4124,2048729
4125,2102887
4126,2116895
4127,2131150
4128,2135227
4129,2205622
4130,2240616
4131,2351090
4132,2399156
4133,3971694
4134,4211200
4135,4311978
4136,4403786
4137,4460678
4138,4470993
4139,4571069
4140,4588790
4141,4632701
4142,4635348
4143,4671729
4144,9623907
4145,324332
4146,324350
4147,324375
4148,327762
4149,327788
4150,327808
4151,327914
4152,328007
4153,328067
4154,328091
4155,328122
4156,330803
4157,330808
4158,413791
4159,419640
4160,419694
4161,419698
4162,419890
4163,419921
4164,419951
4165,419954
4166,419964
4167,430379
4168,493276
4169,577282
4170,577304
4171,577436
4172,577446
4173,577537
4174,640165
4175,640171
4176,759868
4177,765707
4178,887943
4179,889123
4180,983490
4181,1003171
4182,1031522
4183,1074372
4184,1151169
4185,1156932
4186,1266958
4187,1278077
4188,1288141
4189,1345595
4190,1386947
4191,1565067
4192,1591785
4193,1719768
4194,1762582
4195,2082438
4196,2179774
4197,2280196
4198,4197498
4199,4240287
4200,4411686
4201,4573408
4202,4627371
4203,24020
4204,24034
4205,135382
4206,322349
4207,324217
4208,324239
4209,324262
4210,324419
4211,324450
4212,324575
4213,324596
4214,324615
4215,324656
4216,324663
4217,324679
4218,324746
4219,324760
4220,324768
4221,324810
4222,324822
4223,324835
4224,324885
4225,324895
4226,325177
4227,325229
4228,325296
4229,327094
4230,327108
4231,327297
4232,347704
4233,358822
4234,358839
4235,358859
4236,358917
4237,413898
4238,493015
4239,493027
4240,493030
4241,577465
4242,579797
4243,640094
4244,641055
4245,765914
4246,765916
4247,765919
4248,765924
4249,867572
4250,1023323
4251,1107604
4252,1168485
4253,1286306
4254,1384717
4255,1441440
4256,1519777
4257,1541543
4258,1606741
4259,1903074
4260,2001122
4261,2128813
4262,2190643
4263,2200272
4264,2394289
4265,4358601
4266,4529892
4267,4551740
4268,4560820
4269,34770
4270,121047
4271,321872
4272,321881
4273,321901
4274,321935
4275,321946
4276,321986
4277,322011
4278,322038
4279,322241
4280,322411
4281,324470
4282,324559
4283,324604
4284,324619
4285,324632
4286,324667
4287,325097
4288,327487
4289,327528
4290,330603
4291,330623
4292,330659
